name,cuisine,price,link
,,,https://www.zomato.com/gwalior/volga-restaurant-lashkar/info
Volga Restaurant,"North Indian, Chinese, Mughlai, Biryani, Fast Food, Desserts, Beverages",₹800 for two,https://www.zomato.com/gwalior/volga-restaurant-lashkar/info
,,,https://www.zomato.com/gwalior/cafe-frespresso-1-city-center/info
Cafe Frespresso,"Cafe, Tea, Beverages, Pizza, Sandwich, Pasta, Fast Food, Desserts",₹750 for two,https://www.zomato.com/gwalior/cafe-frespresso-1-city-center/info
,,,https://www.zomato.com/gwalior/chotiwala-restaurant-city-center/info
ChotiWala Restaurant,"North Indian, Chinese",₹350 for two,https://www.zomato.com/gwalior/chotiwala-restaurant-city-center/info
,,,https://www.zomato.com/gwalior/indian-coffee-house-1-lashkar/info
Indian Coffee House,"South Indian, Fast Food, Chinese, North Indian, Mughlai, Biryani, Beverages","₹1,000 for two",https://www.zomato.com/gwalior/indian-coffee-house-1-lashkar/info
,,,https://www.zomato.com/gwalior/the-royal-class-hotel-deen-dayal-nagar/info
The Royal Class Hotel,"North Indian, Chinese","₹1,000 for two",https://www.zomato.com/gwalior/the-royal-class-hotel-deen-dayal-nagar/info
,,,https://www.zomato.com/gwalior/hotel-centella-city-center/info
Hotel Centella,"North Indian, Kebab, Chinese, Mughlai, South Indian, Fast Food, Desserts, Beverages",₹500 for two,https://www.zomato.com/gwalior/hotel-centella-city-center/info
,,,https://www.zomato.com/gwalior/barista-coffee-mahalgaon/info
Barista Coffee,"Cafe, Coffee",₹300 for two,https://www.zomato.com/gwalior/barista-coffee-mahalgaon/info
,,,https://www.zomato.com/gwalior/anand-restaurant-naya-bazaar/info
Anand Restaurant,"North Indian, Chinese, Pizza, Fast Food, South Indian, Mughlai, Beverages",₹600 for two,https://www.zomato.com/gwalior/anand-restaurant-naya-bazaar/info
,,,https://www.zomato.com/gwalior/avadh-foods-lashkar/info
Avadh Foods,"North Indian, Fast Food, Biryani",₹100 for two,https://www.zomato.com/gwalior/avadh-foods-lashkar/info
,,,https://www.zomato.com/gwalior/house-of-candy-thatipur/info
House Of Candy,Desserts,₹200 for two,https://www.zomato.com/gwalior/house-of-candy-thatipur/info
,,,https://www.zomato.com/gwalior/the-burger-company-city-center/info
The Burger Company,"Burger, Fast Food, Pizza, Momos, Beverages, Sandwich",₹600 for two,https://www.zomato.com/gwalior/the-burger-company-city-center/info
,,,https://www.zomato.com/gwalior/pizza-hut-city-center/info
Pizza Hut,"Pizza, Fast Food, Desserts, Beverages",₹300 for two,https://www.zomato.com/gwalior/pizza-hut-city-center/info
,,,https://www.zomato.com/gwalior/stockswala-cafe-city-center/info
Stockswala Cafe,"Cafe, Coffee, Shake, Beverages, Pizza, Fast Food, Street Food, Desserts",₹700 for two,https://www.zomato.com/gwalior/stockswala-cafe-city-center/info
,,,https://www.zomato.com/gwalior/mahalaxmi-restaurant-lashkar/info
Mahalaxmi Restaurant,"North Indian, Chinese",₹600 for two,https://www.zomato.com/gwalior/mahalaxmi-restaurant-lashkar/info
,,,https://www.zomato.com/gwalior/chaatizza-1-city-center/info
Chaatizza,"Pizza, Pasta, Burger, Sandwich, Fast Food, Street Food, Desserts, Beverages",₹300 for two,https://www.zomato.com/gwalior/chaatizza-1-city-center/info
,,,https://www.zomato.com/gwalior/mughal-darbar-lashkar/info
Mughal Darbar,"North Indian, Mughlai, Chinese, Desserts, Ice Cream, Beverages",₹700 for two,https://www.zomato.com/gwalior/mughal-darbar-lashkar/info
,,,https://www.zomato.com/gwalior/hotel-shelter-the-aroma-kitchen-lashkar/info
Hotel Shelter - The Aroma Kitchen,"North Indian, Chinese, Seafood, Beverages, Mughlai, Biryani","₹2,000 for two",https://www.zomato.com/gwalior/hotel-shelter-the-aroma-kitchen-lashkar/info
,,,https://www.zomato.com/gwalior/shere-punjab-restaurant-1-lashkar/info
Shere Punjab Restaurant,"North Indian, Chinese, Fast Food",₹600 for two,https://www.zomato.com/gwalior/shere-punjab-restaurant-1-lashkar/info
,,,https://www.zomato.com/gwalior/hotel-ambience-city-center/info
