name,cuisine,link,main_cuisine,rating,cost
The Central Park Bakery,"Bakery, Desserts",https://www.zomato.com/gwalior/the-central-park-bakery-city-center/info,Bakery,,150
Cafe Romyanic,"Fast Food, Chinese",https://www.zomato.com/gwalior/cafe-romyanic-city-center/info,Fast Food,,250
Jalsa Club & Restaurant,"North Indian, Chinese, Biryani, Kebab, Salad, Continental, Mughlai, Beverages",https://www.zomato.com/gwalior/jalsa-club-restaurant-vijaynagar/info,North Indian,,1200
Comesum Food Plaza,"North Indian, Chinese, Fast Food, Street Food, Beverages",https://www.zomato.com/gwalior/comesum-food-plaza-city-center/info,North Indian,,300
Tik-Tok Fast Food Restaurant And Bakery,"Fast Food, North Indian, Chinese, Beverages",https://www.zomato.com/gwalior/tik-tok-fast-food-restaurant-and-bakery-madhav-ganj/info,Fast Food,,300
Urban Tadka Restaurant,"North Indian, Mughlai, Biryani",https://www.zomato.com/gwalior/urban-tadka-restaurant-morar/info,North Indian,,200
New Ashok Restaurant,"North Indian, Chinese",https://www.zomato.com/gwalior/new-ashok-restaurant-lashkar/info,North Indian,,300
Shukla Family Restaurant,"North Indian, Chinese",https://www.zomato.com/gwalior/shukla-family-restaurant-city-center/info,North Indian,,250
Burger Bud,"Pizza, Burger, Sandwich, Pasta, Shake",https://www.zomato.com/gwalior/burger-bud-birla-nagar/info,Pizza,,250
Eat & Bite Cafe & Restro,"Chinese, Sandwich, Burger, Wraps, Pasta, Fast Food, Street Food",https://www.zomato.com/gwalior/eat-bite-cafe-restro-lashkar/info,Chinese,,300
Simpsonss Pizza,"Pizza, Sandwich, Burger",https://www.zomato.com/gwalior/simpsonss-pizza-deen-dayal-nagar/info,Pizza,,300
Jai Mata Di Tiffin Centre,North Indian,https://www.zomato.com/gwalior/jai-mata-di-tiffin-centre-city-center/info,North Indian,,150
Agrawal Restaurant,North Indian,https://www.zomato.com/gwalior/agrawal-restaurant-2-anand-nagar/info,North Indian,,200
Yummy Sandwich,"Sandwich, Pizza, Burger, Fast Food, Street Food, Beverages",https://www.zomato.com/gwalior/yummy-sandwich-naya-bazaar/info,Sandwich,,350
Shri Ram Krishan Misthan Bhandaar,"Desserts, Street Food, South Indian, Chinese",https://www.zomato.com/gwalior/shri-ram-krishan-misthan-bhandaar-deen-dayal-nagar/info,Desserts,,150
Shan E Agra Restaurant,"North Indian, Mughlai, Chinese, Biryani",https://www.zomato.com/shan-e-agra-food-truck/info,North Indian,,400
Shri Ram's Food Court,"North Indian, Pizza, Burger, Sandwich, Momos, Street Food, Shake, Tea",https://www.zomato.com/gwalior/shri-rams-food-court-deen-dayal-nagar/info,North Indian,,300
Jai Maa Kali Restaurant And Cafe,"North Indian, South Indian, Chinese, Pizza, Sandwich, Fast Food",https://www.zomato.com/gwalior/jai-maa-kali-restaurant-and-cafe-morar/info,North Indian,,300
Tasty-Town,"North Indian, Chinese, Salad, Pizza, Fast Food, Shake, Beverages",https://www.zomato.com/gwalior/tasty-town-birla-nagar/info,North Indian,,300
The Tea Bar Cafe,"Tea, Sandwich, Pizza, Beverages",https://www.zomato.com/gwalior/the-tea-bar-cafe-3-deen-dayal-nagar/info,Tea,,250
Tandoori Chai Wala,"Tea, North Indian",https://www.zomato.com/gwalior/tandoori-chai-wala-city-center/info,Tea,,300
Top N Town Ice Cream Sky Cafe,"Ice Cream, Shake, Desserts",https://www.zomato.com/gwalior/top-n-town-ice-cream-sky-cafe-naya-bazaar/info,Ice Cream,,100
Shri Ram Sweets And Bakery,"Mithai, Bakery",https://www.zomato.com/gwalior/shri-ram-sweets-and-bakery-vinay-nagar/info,Mithai,,300
The Happyness Cafe,"Sandwich, Street Food, Pasta, Fast Food, Pizza, Burger, Tea, Beverages",https://www.zomato.com/gwalior/the-happyness-cafe-vijaynagar/info,Sandwich,,200
Where's The Fork Express,"North Indian, Fast Food, Street Food, Chinese, Momos, Rolls, Beverages",https://www.zomato.com/gwalior/wheres-the-fork-express-city-center/info,North Indian,,300
Shere Punjab,"North Indian, Fast Food, Chinese, Shake",https://www.zomato.com/gwalior/shere-punjab-ghosipura/info,North Indian,,300
Roll La Costa,"Rolls, Momos, Fast Food",https://www.zomato.com/gwalior/roll-la-costa-lashkar/info,Rolls,,200
Bru & Bite Cafe,"Sandwich, Pizza, Street Food, Beverages",https://www.zomato.com/gwalior/bru-bite-cafe-deen-dayal-nagar/info,Sandwich,,200
Momo Mafia,"Momos, Chinese, Fast Food, Street Food, Sandwich, Burger, Shake, Beverages",https://www.zomato.com/gwalior/momo-mafia-shinde-ki-chhawani/info,Momos,,350
Foodiestan,"North Indian, Mughlai, Chinese",https://www.zomato.com/gwalior/foodiestan-city-center/info,North Indian,,450
Erica Cafe Family Restaurant,Fast Food,https://www.zomato.com/gwalior/erica-cafe-family-restaurant-morar/info,Fast Food,,200
Bready Bites,"Sandwich, Street Food",https://www.zomato.com/gwalior/bready-bites-city-center/info,Sandwich,,200
The Pearl,North Indian,https://www.zomato.com/gwalior/the-pearl-city-center/info,North Indian,,1000
Delhi 6,"North Indian, Street Food",https://www.zomato.com/gwalior/delhi-6-thatipur/info,North Indian,,200
