name,cuisine,link,main_cuisine,rating,cost
Kings Pizza,"Pizza, Burger, Sandwich, Fast Food",https://www.zomato.com/gwalior/kings-pizza-1-vinay-nagar/info,Pizza,3.6,350
Delhi-6 Ke Lajabab Parathe,North Indian,https://www.zomato.com/gwalior/delhi-6-ke-lajabab-parathe-shinde-ki-chhawani/info,North Indian,3.6,300
Vishnu Bakery,Bakery,https://www.zomato.com/gwalior/vishnu-bakery-madhav-ganj/info,Bakery,3.8,300
Sugar Palm Hotel,"North Indian, Mughlai, Chinese, Fast Food, Street Food",https://www.zomato.com/gwalior/sugar-palm-hotel-city-center/info,North Indian,,750
Little Gwalior Cafe Restaurant,"Fast Food, Street Food, Chinese, North Indian, South Indian, Rolls, Desserts, Beverages",https://www.zomato.com/gwalior/little-gwalior-cafe-restaurant-lashkar/info,Fast Food,2.3,400
The Graduate Chill Point,"Fast Food, Street Food, Shake, Beverages, Ice Cream",https://www.zomato.com/gwalior/the-graduate-chill-point-gulmohar-city/info,Fast Food,3.9,250
Sat Sahib Fast Food Corner,"Fast Food, North Indian",https://www.zomato.com/gwalior/sat-sahib-fast-food-corner-deen-dayal-nagar/info,Fast Food,3.5,350
Taste Of Chambal,"North Indian, Biryani",https://www.zomato.com/gwalior/taste-of-chambal-1-deen-dayal-nagar/info,North Indian,,350
Frontier Restaurent & Parcel Counter,North Indian,https://www.zomato.com/gwalior/frontier-restaurent-parcel-counter-lashkar/info,North Indian,3.3,400
Dr Burger,"Burger, Momos, Sandwich, Pizza, Street Food, Shake, Beverages",https://www.zomato.com/gwalior/dr-burger-morar/info,Burger,3.3,300
Bento Caafe,"Chinese, Pizza, Burger, Fast Food, Sichuan, Street Food, Shake, Beverages",https://www.zomato.com/gwalior/bento-caafe-birla-nagar/info,Chinese,,250
Shivaay Restaurant,"North Indian, Chinese, Salad",https://www.zomato.com/gwalior/shivaay-restaurant-kala-saiyad/info,North Indian,3.5,500
Vansi Fast Food,"Fast Food, South Indian, Pizza, Street Food, Chinese",https://www.zomato.com/gwalior/vansi-fast-food-anand-nagar/info,Fast Food,3.6,200
Kaurav Sweets,Mithai,https://www.zomato.com/gwalior/kaurav-sweets-naya-bazaar/info,Mithai,3.2,300
Chit Chat Cafe,"Fast Food, Pizza, Momos, Beverages",https://www.zomato.com/gwalior/chit-chat-cafe-deen-dayal-nagar/info,Fast Food,2.5,250
