name,location,locality,city,cuisine,rating,votes,cost,main_cuisine
Chaayos,"DLF Galleria Market,DLF Phase - 4, Gurgaon",Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",4.4,72,500,Street Food
Howdie Foodie,"Raj Nagar, Ghaziabad",Ghaziabad,Ghaziabad,"North Indian,  Chinese",4.2,7,1200,North Indian
Hahn's Kitchen,"One Horizon Centre,Golf Course Road, Gurgaon",Gurgaon,Gurgaon,"Korean,  Japanese",4.4,64,1800,Korean
Mashaya Restaurant,"Raj Nagar, Ghaziabad",Ghaziabad,Ghaziabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Mediterranean,  Seafood",3.8,113,1400,Multi-Cuisine
My Bar Headquarters,"Sector 29, Gurgaon",Gurgaon,Gurgaon,"Finger Food,  North Indian,  Chinese,  Continental",4.0,631,1500,Finger Food
Coastal Reef,"DLF Galleria Market,DLF Phase - 4, Gurgaon",Gurgaon,Gurgaon,"Goan,  Andhra,  Kerala",4.2,12,1400,Goan
The Dim Sum House,"Super Mart 1,DLF Phase - 4, Gurgaon",Gurgaon,Gurgaon,"Chinese,  Thai,  Continental",4.5,7,800,Chinese
Indian Grill Room,"Suncity Business Tower,Golf Course Road, Gurgaon",Gurgaon,Gurgaon,"North Indian,  Mughlai",4.4,416,2200,North Indian
The Spice Route,"Crossings Republik, Ghaziabad",Ghaziabad,Ghaziabad,"North Indian,  Chinese",3.8,6,300,North Indian
The Ladakhi Kitchen,"DLF Phase - 4, Gurgaon",Gurgaon,Gurgaon,"Chinese,  Tibetan",4.3,8,800,Chinese
The Joint Cafe,"DLF Galleria Market,DLF Phase - 4, Gurgaon",Gurgaon,Gurgaon,"American,  Burger,  Italian,  Continental",3.9,21,2100,American
Haristo Cafe & Pizzeria,"Advocate Chamber,Raj Nagar, Ghaziabad",Ghaziabad,Ghaziabad,"Italian,  Chinese,  Continental,  Shakes",3.3,3,800,Italian
Naivedyam,"Golf Course Road, Gurgaon",Gurgaon,Gurgaon,South Indian,4.4,396,500,South Indian
Boombox Brewstreet,"Sector 29, Gurgaon",Gurgaon,Gurgaon,"Arabian,  North Indian,  Italian,  Continental,  Oriental",4.2,778,2500,Arabian
Dasaprakash,"Sector 142, Noida",Noida,Noida,"South Indian,  North Indian,  Continental,  Oriental",4.3,96,800,South Indian
Folks,"Sector 16, Faridabad",Faridabad,Noida,"North Indian,  Finger Food,  Chinese,  Thai",4.5,292,1800,North Indian
Downtown Kitchen and Bar,"Courtyard by Marriott Hotel,Sushant Lok Phase 1, Gurgaon",Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Italian,  Asian",4.1,195,3400,Multi-Cuisine
Friction The Drinkery,"Sector 29, Gurgaon",Gurgaon,Gurgaon,"Finger Food,  North Indian,  Italian,  Continental,  Oriental",4.0,154,2100,Finger Food
Greenr Cafe,"32nd Avenue,Sector 15, Gurgaon",Gurgaon,Gurgaon,"Continental,  Health Food",4.7,147,1400,Continental
Pehle Chai,"Sushant Lok, Gurgaon",Gurgaon,Gurgaon,Tea,4.3,4,400,Tea
Chattynadu,"Sushant Lok, Gurgaon",Gurgaon,Gurgaon,"South Indian,  Kerala",4.6,27,800,South Indian
Artusi Ristorante in Piazza Horizon,"Two Horizon Center,Golf Course Road, Gurgaon",Gurgaon,Gurgaon,"Italian,  Seafood",4.6,67,3000,Italian
World Trail,"Assotech Business Cresterra,Sector 135, Noida",Noida,Noida,Fast Food,4.5,22,700,Fast Food
Cafe Amaretto,"South Point Mall,DLF Phase - 5, Gurgaon",Gurgaon,Gurgaon,"Italian,  Desserts,  Bakery and Confectionary",4.4,131,2800,Italian
My Tea Chapel,"South Point Mall,DLF Phase - 5, Gurgaon",Gurgaon,Gurgaon,"Continental,  Coffee,  Tea,  Italian,  Desserts,  Pizza",4.5,11,1000,Continental
Lost Lemons,"Sector 29, Gurgaon",Gurgaon,Gurgaon,"North Indian,  Chinese,  Continental",4.1,162,2500,North Indian
21 shots -  The MRP Bar,"Sector 29, Gurgaon",Gurgaon,Gurgaon,"Finger Food,  North Indian,  Italian",4.1,354,2000,Finger Food
The Burger Club,"Sushant Lok Phase 1, Gurgaon",Gurgaon,Gurgaon,"Burger,  Fast Food",4.5,2,600,Burger
The Legacy of Sasuraal,"Sector 29, Gurgaon",Gurgaon,Gurgaon,"North Indian,  Chinese,  Seafood",4.1,316,2200,North Indian
Warehouse Cafe,"Sector 29, Gurgaon",Gurgaon,Gurgaon,"North Indian,  Fusion,  Italian,  Chinese",4.1,1107,2500,North Indian
The Barbeque Company,"Sector 29, Gurgaon",Gurgaon,Gurgaon,"North Indian,  Barbecue,  Chinese",4.3,1944,1800,North Indian
Ziuba,"Ardee Mall,Ardee City, Gurgaon",Gurgaon,Gurgaon,"Chinese,  Thai,  Japanese",4.2,98,1200,Chinese
The Beer Cafe,"Advant Navis Business Park,Sector 142, Noida",Noida,Noida,"Italian,  Finger Food,  North Indian",3.7,33,1200,Italian
